"# value_kind: derived=tokens_per_call,n_calls,n_blocks,waves,grid_sat_sm,grid_sat_sm_pred,grid_starved,asym_headroom; metadata=model,device,config_status,batch,seq,chunk_granularity,ssd_chunk,n_heads,sm_count,blocks_per_sm"
model__metadata,device__metadata,config_status__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,ssd_chunk__metadata,n_heads__metadata,sm_count__metadata,blocks_per_sm__metadata,tokens_per_call__derived,n_calls__derived,n_blocks__derived,waves__derived,grid_sat_sm__derived,grid_sat_sm_pred__derived,grid_starved__derived,asym_headroom__derived
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,512,256,64,68,1,512,4,128,1.8824,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,512,256,64,81,1,512,4,128,1.5802,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,512,256,64,94,1,512,4,128,1.3617,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,512,256,64,108,1,512,4,128,1.1852,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,full,256,64,14,1,2048,1,512,36.5714,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,full,256,64,27,1,2048,1,512,18.963,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,full,256,64,40,1,2048,1,512,12.8,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,full,256,64,54,1,2048,1,512,9.4815,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,full,256,64,68,1,2048,1,512,7.5294,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,full,256,64,81,1,2048,1,512,6.321,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,full,256,64,94,1,2048,1,512,5.4468,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,2048,full,256,64,108,1,2048,1,512,4.7407,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,256,256,64,14,1,256,32,64,4.5714,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,256,256,64,27,1,256,32,64,2.3704,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,256,256,64,40,1,256,32,64,1.6,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,256,256,64,54,1,256,32,64,1.1852,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,256,256,64,68,1,256,32,64,0.9412,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,256,256,64,81,1,256,32,64,0.7901,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,256,256,64,94,1,256,32,64,0.6809,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,256,256,64,108,1,256,32,64,0.5926,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,512,256,64,14,1,512,16,128,9.1429,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,512,256,64,27,1,512,16,128,4.7407,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,512,256,64,40,1,512,16,128,3.2,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,512,256,64,54,1,512,16,128,2.3704,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,512,256,64,68,1,512,16,128,1.8824,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,512,256,64,81,1,512,16,128,1.5802,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,512,256,64,94,1,512,16,128,1.3617,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,512,256,64,108,1,512,16,128,1.1852,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,full,256,64,14,1,8192,1,2048,146.2857,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,full,256,64,27,1,8192,1,2048,75.8519,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,full,256,64,40,1,8192,1,2048,51.2,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,full,256,64,54,1,8192,1,2048,37.9259,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,full,256,64,68,1,8192,1,2048,30.1176,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,full,256,64,81,1,8192,1,2048,25.284,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,full,256,64,94,1,8192,1,2048,21.7872,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,1,8192,full,256,64,108,1,8192,1,2048,18.963,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,256,256,64,14,1,256,8,128,9.1429,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,256,256,64,27,1,256,8,128,4.7407,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,256,256,64,40,1,256,8,128,3.2,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,256,256,64,54,1,256,8,128,2.3704,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,256,256,64,68,1,256,8,128,1.8824,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,256,256,64,81,1,256,8,128,1.5802,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,256,256,64,94,1,256,8,128,1.3617,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,256,256,64,108,1,256,8,128,1.1852,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,512,256,64,14,1,512,4,256,18.2857,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,512,256,64,27,1,512,4,256,9.4815,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,512,256,64,40,1,512,4,256,6.4,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,512,256,64,54,1,512,4,256,4.7407,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,512,256,64,68,1,512,4,256,3.7647,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,512,256,64,81,1,512,4,256,3.1605,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,512,256,64,94,1,512,4,256,2.7234,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,512,256,64,108,1,512,4,256,2.3704,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,full,256,64,14,1,2048,1,1024,73.1429,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,full,256,64,27,1,2048,1,1024,37.9259,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,full,256,64,40,1,2048,1,1024,25.6,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,full,256,64,54,1,2048,1,1024,18.963,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,full,256,64,68,1,2048,1,1024,15.0588,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,full,256,64,81,1,2048,1,1024,12.642,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,full,256,64,94,1,2048,1,1024,10.8936,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,2048,full,256,64,108,1,2048,1,1024,9.4815,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,256,256,64,14,1,256,32,128,9.1429,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,256,256,64,27,1,256,32,128,4.7407,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,256,256,64,40,1,256,32,128,3.2,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,256,256,64,54,1,256,32,128,2.3704,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,256,256,64,68,1,256,32,128,1.8824,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,256,256,64,81,1,256,32,128,1.5802,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,256,256,64,94,1,256,32,128,1.3617,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,256,256,64,108,1,256,32,128,1.1852,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,512,256,64,14,1,512,16,256,18.2857,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,512,256,64,27,1,512,16,256,9.4815,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,512,256,64,40,1,512,16,256,6.4,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,512,256,64,54,1,512,16,256,4.7407,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,512,256,64,68,1,512,16,256,3.7647,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,512,256,64,81,1,512,16,256,3.1605,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,512,256,64,94,1,512,16,256,2.7234,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,512,256,64,108,1,512,16,256,2.3704,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,full,256,64,14,1,8192,1,4096,292.5714,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,full,256,64,27,1,8192,1,4096,151.7037,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,full,256,64,40,1,8192,1,4096,102.4,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,full,256,64,54,1,8192,1,4096,75.8519,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,full,256,64,68,1,8192,1,4096,60.2353,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,full,256,64,81,1,8192,1,4096,50.5679,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,full,256,64,94,1,8192,1,4096,43.5745,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,2,8192,full,256,64,108,1,8192,1,4096,37.9259,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,256,256,64,14,1,256,8,256,18.2857,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,256,256,64,27,1,256,8,256,9.4815,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,256,256,64,40,1,256,8,256,6.4,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,256,256,64,54,1,256,8,256,4.7407,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,256,256,64,68,1,256,8,256,3.7647,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,256,256,64,81,1,256,8,256,3.1605,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,256,256,64,94,1,256,8,256,2.7234,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,256,256,64,108,1,256,8,256,2.3704,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,512,256,64,14,1,512,4,512,36.5714,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,512,256,64,27,1,512,4,512,18.963,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,512,256,64,40,1,512,4,512,12.8,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,512,256,64,54,1,512,4,512,9.4815,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,512,256,64,68,1,512,4,512,7.5294,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,512,256,64,81,1,512,4,512,6.321,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,512,256,64,94,1,512,4,512,5.4468,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,512,256,64,108,1,512,4,512,4.7407,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,full,256,64,14,1,2048,1,2048,146.2857,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,full,256,64,27,1,2048,1,2048,75.8519,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,full,256,64,40,1,2048,1,2048,51.2,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,full,256,64,54,1,2048,1,2048,37.9259,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,full,256,64,68,1,2048,1,2048,30.1176,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,full,256,64,81,1,2048,1,2048,25.284,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,full,256,64,94,1,2048,1,2048,21.7872,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,2048,full,256,64,108,1,2048,1,2048,18.963,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,256,256,64,14,1,256,32,256,18.2857,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,256,256,64,27,1,256,32,256,9.4815,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,256,256,64,40,1,256,32,256,6.4,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,256,256,64,54,1,256,32,256,4.7407,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,256,256,64,68,1,256,32,256,3.7647,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,256,256,64,81,1,256,32,256,3.1605,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,256,256,64,94,1,256,32,256,2.7234,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,256,256,64,108,1,256,32,256,2.3704,256,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,512,256,64,14,1,512,16,512,36.5714,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,512,256,64,27,1,512,16,512,18.963,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,512,256,64,40,1,512,16,512,12.8,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,512,256,64,54,1,512,16,512,9.4815,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,512,256,64,68,1,512,16,512,7.5294,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,512,256,64,81,1,512,16,512,6.321,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,512,256,64,94,1,512,16,512,5.4468,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,512,256,64,108,1,512,16,512,4.7407,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,full,256,64,14,1,8192,1,8192,585.1429,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,full,256,64,27,1,8192,1,8192,303.4074,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,full,256,64,40,1,8192,1,8192,204.8,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,full,256,64,54,1,8192,1,8192,151.7037,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,full,256,64,68,1,8192,1,8192,120.4706,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,full,256,64,81,1,8192,1,8192,101.1358,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,full,256,64,94,1,8192,1,8192,87.1489,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,4,8192,full,256,64,108,1,8192,1,8192,75.8519,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,256,256,64,14,1,256,8,512,36.5714,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,256,256,64,27,1,256,8,512,18.963,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,256,256,64,40,1,256,8,512,12.8,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,256,256,64,54,1,256,8,512,9.4815,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,256,256,64,68,1,256,8,512,7.5294,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,256,256,64,81,1,256,8,512,6.321,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,256,256,64,94,1,256,8,512,5.4468,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,256,256,64,108,1,256,8,512,4.7407,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,512,256,64,14,1,512,4,1024,73.1429,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,512,256,64,27,1,512,4,1024,37.9259,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,512,256,64,40,1,512,4,1024,25.6,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,512,256,64,54,1,512,4,1024,18.963,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,512,256,64,68,1,512,4,1024,15.0588,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,512,256,64,81,1,512,4,1024,12.642,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,512,256,64,94,1,512,4,1024,10.8936,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,512,256,64,108,1,512,4,1024,9.4815,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,full,256,64,14,1,2048,1,4096,292.5714,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,full,256,64,27,1,2048,1,4096,151.7037,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,full,256,64,40,1,2048,1,4096,102.4,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,full,256,64,54,1,2048,1,4096,75.8519,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,full,256,64,68,1,2048,1,4096,60.2353,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,full,256,64,81,1,2048,1,4096,50.5679,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,full,256,64,94,1,2048,1,4096,43.5745,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,2048,full,256,64,108,1,2048,1,4096,37.9259,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,256,256,64,14,1,256,32,512,36.5714,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,256,256,64,27,1,256,32,512,18.963,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,256,256,64,40,1,256,32,512,12.8,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,256,256,64,54,1,256,32,512,9.4815,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,256,256,64,68,1,256,32,512,7.5294,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,256,256,64,81,1,256,32,512,6.321,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,256,256,64,94,1,256,32,512,5.4468,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,256,256,64,108,1,256,32,512,4.7407,512,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,512,256,64,14,1,512,16,1024,73.1429,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,512,256,64,27,1,512,16,1024,37.9259,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,512,256,64,40,1,512,16,1024,25.6,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,512,256,64,54,1,512,16,1024,18.963,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,512,256,64,68,1,512,16,1024,15.0588,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,512,256,64,81,1,512,16,1024,12.642,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,512,256,64,94,1,512,16,1024,10.8936,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,512,256,64,108,1,512,16,1024,9.4815,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,full,256,64,14,1,8192,1,16384,1170.2857,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,full,256,64,27,1,8192,1,16384,606.8148,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,full,256,64,40,1,8192,1,16384,409.6,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,full,256,64,54,1,8192,1,16384,303.4074,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,full,256,64,68,1,8192,1,16384,240.9412,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,full,256,64,81,1,8192,1,16384,202.2716,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,full,256,64,94,1,8192,1,16384,174.2979,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,8,8192,full,256,64,108,1,8192,1,16384,151.7037,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,256,256,64,14,1,256,8,1024,73.1429,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,256,256,64,27,1,256,8,1024,37.9259,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,256,256,64,40,1,256,8,1024,25.6,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,256,256,64,54,1,256,8,1024,18.963,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,256,256,64,68,1,256,8,1024,15.0588,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,256,256,64,81,1,256,8,1024,12.642,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,256,256,64,94,1,256,8,1024,10.8936,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,256,256,64,108,1,256,8,1024,9.4815,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,512,256,64,14,1,512,4,2048,146.2857,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,512,256,64,27,1,512,4,2048,75.8519,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,512,256,64,40,1,512,4,2048,51.2,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,512,256,64,54,1,512,4,2048,37.9259,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,512,256,64,68,1,512,4,2048,30.1176,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,512,256,64,81,1,512,4,2048,25.284,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,512,256,64,94,1,512,4,2048,21.7872,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,512,256,64,108,1,512,4,2048,18.963,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,full,256,64,14,1,2048,1,8192,585.1429,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,full,256,64,27,1,2048,1,8192,303.4074,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,full,256,64,40,1,2048,1,8192,204.8,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,full,256,64,54,1,2048,1,8192,151.7037,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,full,256,64,68,1,2048,1,8192,120.4706,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,full,256,64,81,1,2048,1,8192,101.1358,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,full,256,64,94,1,2048,1,8192,87.1489,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,2048,full,256,64,108,1,2048,1,8192,75.8519,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,8192,256,256,64,14,1,256,32,1024,73.1429,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,8192,256,256,64,27,1,256,32,1024,37.9259,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,8192,256,256,64,40,1,256,32,1024,25.6,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,8192,256,256,64,54,1,256,32,1024,18.963,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,8192,256,256,64,68,1,256,32,1024,15.0588,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,8192,256,256,64,81,1,256,32,1024,12.642,1024,108,False,False
zamba2_1.2b,a100_sxm4_80gb,verified,16,8192,256,256,64,94,1,256,32,1024,10.8936,1024,108,False,False
